Restaurant,Rating,Name,Cost,Cluster,Segment
10 Downing Street,3.8,10 Downing Street,1900.0,1,Premium/Best Quality
13 Dhaba,3.48,13 Dhaba,450.0,0,Overpriced/Below Expectation
"3B's - Buddies, Bar & Barbecue",4.76,"3B's - Buddies, Bar & Barbecue",1100.0,2,Budget/Mixed
AB's - Absolute Barbecues,4.88,AB's - Absolute Barbecues,1500.0,2,Budget/Mixed
Absolute Sizzlers,3.62,Absolute Sizzlers,750.0,0,Overpriced/Below Expectation
Al Saba Restaurant,3.1363636363636362,Al Saba Restaurant,750.0,0,Overpriced/Below Expectation
American Wild Wings,3.9740259740259742,American Wild Wings,600.0,0,Overpriced/Below Expectation
Amul,3.9292929292929295,Amul,150.0,0,Overpriced/Below Expectation
Arena Eleven,4.117647058823529,Arena Eleven,1600.0,2,Budget/Mixed
Aromas@11SIX,3.46,Aromas@11SIX,750.0,0,Overpriced/Below Expectation
Asian Meal Box,2.58,Asian Meal Box,200.0,0,Overpriced/Below Expectation
B-Dubs,4.81,B-Dubs,1600.0,2,Budget/Mixed
Banana Leaf Multicuisine Restaurant,3.69,Banana Leaf Multicuisine Restaurant,700.0,0,Overpriced/Below Expectation
Barbeque Nation,4.12,Barbeque Nation,1600.0,2,Budget/Mixed
Behrouz Biryani,2.825,Behrouz Biryani,600.0,0,Overpriced/Below Expectation
Being Hungry,3.6464646464646466,Being Hungry,450.0,0,Overpriced/Below Expectation
Beyond Flavours,4.28,Beyond Flavours,800.0,2,Budget/Mixed
Biryanis And More,3.74,Biryanis And More,500.0,0,Overpriced/Below Expectation
Cafe Eclat,3.59,Cafe Eclat,700.0,0,Overpriced/Below Expectation
Cascade - Radisson Hyderabad Hitec City,4.26,Cascade - Radisson Hyderabad Hitec City,1800.0,2,Budget/Mixed
Chinese Pavilion,3.745,Chinese Pavilion,1000.0,1,Premium/Best Quality
Club Rogue,2.88,Club Rogue,900.0,0,Overpriced/Below Expectation
Collage - Hyatt Hyderabad Gachibowli,3.41,Collage - Hyatt Hyderabad Gachibowli,2800.0,1,Premium/Best Quality
Cream Stone,3.845,Cream Stone,350.0,0,Overpriced/Below Expectation
Delhi-39,2.975,Delhi-39,600.0,0,Overpriced/Below Expectation
Deli 9 Bistro,3.82,Deli 9 Bistro,700.0,0,Overpriced/Below Expectation
Desi Bytes,2.9,Desi Bytes,400.0,0,Overpriced/Below Expectation
Dine O China,3.37,Dine O China,850.0,0,Overpriced/Below Expectation
Diners Pavilion,3.32,Diners Pavilion,1200.0,1,Premium/Best Quality
Domino's Pizza,3.0707070707070705,Domino's Pizza,400.0,0,Overpriced/Below Expectation
